multipole_ell,TT,EE,BB,PP
ell0213,5.7133900000e+03,7.5915400000e-01,1.6093500000e-02,5.3841200000e-08
ell0214,5.7176400000e+03,7.7259900000e-01,1.6257900000e-02,5.3583500000e-08
ell0215,5.7212900000e+03,7.8749900000e-01,1.6422800000e-02,5.3327800000e-08
ell0216,5.7242600000e+03,8.0366700000e-01,1.6588300000e-02,5.3074100000e-08
ell0217,5.7266900000e+03,8.2126100000e-01,1.6754400000e-02,5.2822300000e-08
ell0218,5.7284500000e+03,8.4027900000e-01,1.6921100000e-02,5.2572500000e-08
ell0219,5.7295900000e+03,8.6072400000e-01,1.7088300000e-02,5.2324600000e-08
ell0220,5.7301400000e+03,8.8274200000e-01,1.7256000000e-02,5.2078600000e-08
ell0221,5.7300700000e+03,9.0626100000e-01,1.7424300000e-02,5.1834500000e-08
ell0222,5.7294000000e+03,9.3142800000e-01,1.7593000000e-02,5.1592200000e-08
ell0223,5.7279800000e+03,9.5817000000e-01,1.7762200000e-02,5.1351900000e-08
ell0224,5.7261000000e+03,9.8648800000e-01,1.7931900000e-02,5.1113300000e-08
ell0225,5.7235300000e+03,1.0165300000e+00,1.8102000000e-02,5.0876600000e-08
ell0226,5.7203700000e+03,1.0482900000e+00,1.8272500000e-02,5.0641600000e-08
ell0227,5.7165200000e+03,1.0817800000e+00,1.8443500000e-02,5.0408500000e-08
ell0228,5.7121400000e+03,1.1170000000e+00,1.8614800000e-02,5.0177100000e-08
ell0229,5.7071600000e+03,1.1540100000e+00,1.8786500000e-02,4.9947400000e-08
ell0230,5.7014900000e+03,1.1928200000e+00,1.8958500000e-02,4.9719500000e-08
ell0231,5.6951500000e+03,1.2335000000e+00,1.9130900000e-02,4.9493200000e-08
ell0232,5.6882700000e+03,1.2759900000e+00,1.9303600000e-02,4.9268700000e-08
ell0233,5.6807900000e+03,1.3204900000e+00,1.9476600000e-02,4.9045800000e-08
ell0234,5.6725500000e+03,1.3668700000e+00,1.9649800000e-02,4.8824600000e-08
ell0235,5.6637900000e+03,1.4152000000e+00,1.9823300000e-02,4.8605000000e-08
ell0236,5.6543400000e+03,1.4654700000e+00,1.9997000000e-02,4.8387000000e-08
ell0237,5.6442900000e+03,1.5177700000e+00,2.0170900000e-02,4.8170700000e-08
ell0238,5.6336300000e+03,1.5721600000e+00,2.0345000000e-02,4.7955900000e-08
ell0239,5.6224400000e+03,1.6285000000e+00,2.0519300000e-02,4.7742600000e-08
ell0240,5.6105000000e+03,1.6868700000e+00,2.0693700000e-02,4.7531000000e-08
ell0241,5.5981000000e+03,1.7474000000e+00,2.0868200000e-02,4.7320800000e-08
ell0242,5.5851000000e+03,1.8099600000e+00,2.1042800000e-02,4.7112100000e-08
ell0243,5.5714900000e+03,1.8746900000e+00,2.1217500000e-02,4.6904900000e-08
ell0244,5.5572700000e+03,1.9415100000e+00,2.1392300000e-02,4.6699200000e-08
ell0245,5.5424500000e+03,2.0105100000e+00,2.1567100000e-02,4.6495000000e-08
ell0246,5.5271100000e+03,2.0816800000e+00,2.1741900000e-02,4.6292200000e-08
ell0247,5.5112200000e+03,2.1549500000e+00,2.1916700000e-02,4.6090800000e-08
ell0248,5.4947400000e+03,2.2306800000e+00,2.2091400000e-02,4.5890800000e-08
ell0249,5.4778000000e+03,2.3083700000e+00,2.2266100000e-02,4.5692100000e-08
ell0250,5.4602500000e+03,2.3884400000e+00,2.2440700000e-02,4.5494900000e-08
ell0251,5.4422500000e+03,2.4706200000e+00,2.2615300000e-02,4.5299000000e-08
ell0252,5.4235700000e+03,2.5551100000e+00,2.2789700000e-02,4.5104400000e-08
ell0253,5.4045800000e+03,2.6417000000e+00,2.2963900000e-02,4.4911100000e-08
ell0254,5.3849800000e+03,2.7306900000e+00,2.3138000000e-02,4.4719200000e-08
ell0255,5.3648600000e+03,2.8217700000e+00,2.3311900000e-02,4.4528600000e-08
ell0256,5.3442800000e+03,2.9153100000e+00,2.3485600000e-02,4.4339200000e-08
ell0257,5.3232500000e+03,3.0108800000e+00,2.3659100000e-02,4.4151200000e-08
ell0258,5.3016900000e+03,3.1088400000e+00,2.3832400000e-02,4.3964400000e-08
ell0259,5.2796800000e+03,3.2090300000e+00,2.4005400000e-02,4.3778800000e-08
ell0260,5.2572800000e+03,3.3114700000e+00,2.4178100000e-02,4.3594500000e-08
ell0261,5.2343600000e+03,3.4160800000e+00,2.4350500000e-02,4.3411500000e-08
ell0262,5.2109100000e+03,3.5230700000e+00,2.4522600000e-02,4.3229700000e-08
ell0263,5.1873000000e+03,3.6322300000e+00,2.4694400000e-02,4.3049100000e-08
ell0264,5.1630900000e+03,3.7436300000e+00,2.4865800000e-02,4.2869700000e-08
ell0265,5.1383500000e+03,3.8571900000e+00,2.5036800000e-02,4.2691500000e-08
ell0266,5.1133100000e+03,3.9731400000e+00,2.5207500000e-02,4.2514500000e-08
ell0267,5.0877500000e+03,4.0911100000e+00,2.5377800000e-02,4.2338700000e-08
ell0268,5.0618000000e+03,4.2114600000e+00,2.5547600000e-02,4.2164100000e-08
ell0269,5.0353300000e+03,4.3338900000e+00,2.5717100000e-02,4.1990600000e-08
ell0270,5.0086300000e+03,4.4584900000e+00,2.5886000000e-02,4.1818200000e-08
ell0271,4.9814800000e+03,4.5851800000e+00,2.6054600000e-02,4.1647000000e-08
ell0272,4.9541000000e+03,4.7142500000e+00,2.6222600000e-02,4.1476900000e-08
ell0273,4.9262700000e+03,4.8451100000e+00,2.6390200000e-02,4.1307900000e-08
ell0274,4.8981400000e+03,4.9783600000e+00,2.6557300000e-02,4.1140100000e-08
ell0275,4.8696200000e+03,5.1134600000e+00,2.6723800000e-02,4.0973300000e-08
ell0276,4.8408900000e+03,5.2506500000e+00,2.6889900000e-02,4.0807600000e-08
ell0277,4.8117000000e+03,5.3899300000e+00,2.7055400000e-02,4.0643000000e-08
ell0278,4.7822800000e+03,5.5312200000e+00,2.7220400000e-02,4.0479500000e-08
ell0279,4.7525600000e+03,5.6744400000e+00,2.7384800000e-02,4.0317000000e-08
ell0280,4.7225400000e+03,5.8196000000e+00,2.7548700000e-02,4.0155500000e-08
ell0281,4.6923700000e+03,5.9667600000e+00,2.7712000000e-02,3.9995100000e-08
ell0282,4.6617500000e+03,6.1156400000e+00,2.7874700000e-02,3.9835700000e-08
ell0283,4.6309700000e+03,6.2664500000e+00,2.8036800000e-02,3.9677300000e-08
ell0284,4.5999700000e+03,6.4191200000e+00,2.8198400000e-02,3.9519900000e-08
ell0285,4.5687400000e+03,6.5736500000e+00,2.8359300000e-02,3.9363600000e-08
ell0286,4.5372200000e+03,6.7298900000e+00,2.8519600000e-02,3.9208200000e-08
ell0287,4.5054600000e+03,6.8878500000e+00,2.8679300000e-02,3.9053700000e-08
ell0288,4.4735600000e+03,7.0475100000e+00,2.8838400000e-02,3.8900200000e-08
ell0289,4.4414300000e+03,7.2088000000e+00,2.8996800000e-02,3.8747700000e-08
ell0290,4.4091400000e+03,7.3715900000e+00,2.9154700000e-02,3.8596100000e-08
ell0291,4.3767100000e+03,7.5366000000e+00,2.9311800000e-02,3.8445500000e-08
ell0292,4.3438300000e+03,7.7027300000e+00,2.9468300000e-02,3.8295800000e-08
ell0293,4.3110900000e+03,7.8696000000e+00,2.9624200000e-02,3.8146900000e-08
ell0294,4.2780500000e+03,8.0387000000e+00,2.9779400000e-02,3.7999000000e-08
ell0295,4.2450900000e+03,8.2085500000e+00,2.9933900000e-02,3.7852000000e-08
ell0296,4.2118300000e+03,8.3806200000e+00,3.0087800000e-02,3.7705800000e-08
ell0297,4.1784900000e+03,8.5527000000e+00,3.0241000000e-02,3.7560500000e-08
ell0298,4.1449300000e+03,8.7270000000e+00,3.0393500000e-02,3.7416100000e-08
ell0299,4.1113600000e+03,8.9027900000e+00,3.0545300000e-02,3.7272500000e-08
ell0300,4.0776500000e+03,9.0785800000e+00,3.0696400000e-02,3.7129800000e-08
ell0301,4.0438600000e+03,9.2558600000e+00,3.0846900000e-02,3.6987900000e-08
ell0302,4.0100700000e+03,9.4338800000e+00,3.0996700000e-02,3.6846800000e-08
ell0303,3.9762000000e+03,9.6133800000e+00,3.1145700000e-02,3.6706500000e-08
ell0304,3.9422600000e+03,9.7943600000e+00,3.1294100000e-02,3.6567100000e-08
ell0305,3.9083200000e+03,9.9753500000e+00,3.1441800000e-02,3.6428400000e-08
ell0306,3.8743000000e+03,1.0157100000e+01,3.1588800000e-02,3.6290500000e-08
ell0307,3.8402900000e+03,1.0339500000e+01,3.1735000000e-02,3.6153500000e-08
ell0308,3.8062700000e+03,1.0524200000e+01,3.1880600000e-02,3.6017200000e-08
ell0309,3.7723300000e+03,1.0708100000e+01,3.2025500000e-02,3.5881700000e-08
ell0310,3.7383100000e+03,1.0892000000e+01,3.2169700000e-02,3.5747000000e-08
