triad_id,day_A,day_B,day_C,side_AB,side_BC,side_CA,metric_triangle_area,triadic_imbalance,orientation_score,dominant_carrier,rank,classification
T876,2003,2006,2012,1.0421795173806072,3.2627694833066228,3.6816579317087057,1.637987369431127,3.5326523600867823,1.0,Nuclear,1455,LARGE_TRIADIC_STRUCTURE
T1530,2006,2011,2015,1.3558080873933933,4.048621571500509,5.20030312389734,1.636377270205613,3.8355746452989337,1.0,Nuclear,1456,LARGE_TRIADIC_STRUCTURE
T885,2003,2006,2021,1.0421795173806072,4.5495655657658824,5.3526240196754005,1.6352629243678083,5.135990422387668,1.0,Solar,1457,LARGE_TRIADIC_STRUCTURE
T882,2003,2006,2018,1.0421795173806072,4.155838032706744,4.903680010486001,1.633067933323222,4.7052162594893545,-1.0,Solar,1458,LARGE_TRIADIC_STRUCTURE
T1909,2008,2020,2024,4.385971368815513,0.745508496107639,4.409216639218893,1.6325283201637162,5.914374768684427,-1.0,Solar,1459,LARGE_TRIADIC_STRUCTURE
T824,2002,2022,2023,5.883499666721799,0.5551450108099307,5.929616977670892,1.6320261705823136,10.681203761553864,1.0,Solar,1460,LARGE_TRIADIC_STRUCTURE
T019,2000,2001,2020,0.8478459611375836,6.400689398042448,7.096571174718825,1.6311093873177434,8.37011851209047,1.0,Solar,1461,LARGE_TRIADIC_STRUCTURE
T864,2003,2005,2019,0.8881030229852249,4.4539282782435725,5.01044568533212,1.6303697525506742,5.641739252829316,-1.0,Solar,1462,LARGE_TRIADIC_STRUCTURE
T1166,2004,2011,2012,1.7854780106890713,2.2006349874139537,3.523751147404654,1.6301102764652848,1.97356177242683,1.0,Nuclear,1463,LARGE_TRIADIC_STRUCTURE
T2161,2011,2013,2016,2.558417007001185,1.3019704874644575,3.1009752340680814,1.629609138871918,2.3817553960897557,-1.0,Nuclear,1464,LARGE_TRIADIC_STRUCTURE
T1454,2005,2021,2025,4.78243669864322,0.6959751395997428,4.9734105556311485,1.6281432645258105,7.1459600676130055,1.0,Solar,1465,LARGE_TRIADIC_STRUCTURE
T016,2000,2001,2017,0.8478459611375836,5.950952633943864,6.6214748807410775,1.6272014714446592,7.809761659838328,1.0,Solar,1466,LARGE_TRIADIC_STRUCTURE
T2130,2010,2019,2025,3.402257010208597,1.021866982781259,3.8817478690945872,1.6269954011059145,3.7986821518877814,1.0,Solar,1467,LARGE_TRIADIC_STRUCTURE
T1258,2004,2020,2023,5.142080169089941,0.6440632683604465,5.041436522148703,1.6163217071666354,7.983812183824469,1.0,Solar,1468,LARGE_TRIADIC_STRUCTURE
T2182,2011,2015,2016,4.048621571500509,1.320047814318257,3.1009752340680814,1.6143140189388232,3.067026457364677,1.0,Nuclear,1469,LARGE_TRIADIC_STRUCTURE
T2114,2010,2017,2022,3.5779881629853034,0.9038149541457039,3.744427978328315,1.613795458762742,4.14291438878392,-1.0,Solar,1470,LARGE_TRIADIC_STRUCTURE
T2122,2010,2018,2023,3.3763669251033437,0.9842331380080602,3.735375288495903,1.613658830678723,3.7952139023237326,1.0,Solar,1471,LARGE_TRIADIC_STRUCTURE
T1347,2005,2010,2017,1.2249436735183623,3.5779881629853034,4.50032108168606,1.6091463562839667,3.6739004241394606,-1.0,Solar,1472,LARGE_TRIADIC_STRUCTURE
T021,2000,2001,2022,0.8478459611375836,6.2785390553802305,6.973230167305361,1.6069647683774293,8.224642785287486,1.0,Solar,1473,LARGE_TRIADIC_STRUCTURE
T858,2003,2005,2013,0.8881030229852249,3.807004836363522,4.1705482731346395,1.6059794221068922,4.696018553248437,-1.0,Nuclear,1474,LARGE_TRIADIC_STRUCTURE
T803,2002,2018,2020,5.476302782548439,0.7814362989282642,6.021631570279538,1.605116010680841,7.705850852511171,1.0,Solar,1475,LARGE_TRIADIC_STRUCTURE
T2111,2010,2017,2019,3.5779881629853034,0.9419667832161248,3.402257010208597,1.6001592245774763,3.798422860272314,-1.0,Solar,1476,LARGE_TRIADIC_STRUCTURE
T816,2002,2020,2022,6.021631570279538,0.5554172093215642,5.883499666721799,1.5993967285634278,10.841636645783613,1.0,Solar,1477,LARGE_TRIADIC_STRUCTURE
T1145,2004,2009,2020,1.2866105406822144,4.061827795599079,5.142080169089941,1.592297998595521,3.9966097016144424,1.0,Solar,1478,LARGE_TRIADIC_STRUCTURE
T1147,2004,2009,2022,1.2866105406822144,3.9294437442756625,4.99510918507081,1.5916667223949874,3.8823785653288643,1.0,Solar,1479,LARGE_TRIADIC_STRUCTURE
T1107,2004,2007,2015,0.7765870445687357,5.023043875792289,5.509147454123892,1.590318568651509,7.094050168173101,1.0,Nuclear,1480,LARGE_TRIADIC_STRUCTURE
T1367,2005,2011,2023,1.5386272695154788,3.4771224760265715,4.802326695999761,1.5900252837194262,3.121176123124372,1.0,Solar,1481,LARGE_TRIADIC_STRUCTURE
T598,2002,2003,2025,0.7576012954323174,5.591143766264122,6.1181591943534,1.5898759935661482,8.075697905007061,1.0,Solar,1482,LARGE_TRIADIC_STRUCTURE
T1538,2006,2011,2023,1.3558080873933933,3.4771224760265715,4.571400036586671,1.5876578946078665,3.3717161588668563,1.0,Solar,1483,LARGE_TRIADIC_STRUCTURE
T2233,2011,2022,2025,3.3754093072761435,0.9602409167782103,3.6913922267957644,1.5871188867579868,3.8442355062113815,-1.0,Solar,1484,LARGE_TRIADIC_STRUCTURE
T1654,2007,2009,2015,0.6805344571479613,4.810974090610833,5.023043875792289,1.5859756007168573,7.3810279891532105,-1.0,Nuclear,1485,LARGE_TRIADIC_STRUCTURE
T1740,2007,2016,2017,4.1451363015303,0.767881969213521,4.141366487247626,1.5839001835702058,5.398142511115121,-1.0,Solar,1486,LARGE_TRIADIC_STRUCTURE
T1615,2006,2019,2024,4.222745769203566,0.8551861091028136,4.694184526525593,1.5832357707455849,5.489079484055606,1.0,Solar,1487,LARGE_TRIADIC_STRUCTURE
T887,2003,2006,2023,1.0421795173806072,4.571400036586671,5.395103506186263,1.5821202016453273,5.176750661676989,1.0,Solar,1488,LARGE_TRIADIC_STRUCTURE
T1162,2004,2010,2022,1.4492146732753048,3.744427978328315,4.99510918507081,1.5774813803590813,3.446769672695618,1.0,Solar,1489,LARGE_TRIADIC_STRUCTURE
T840,2003,2004,2015,0.5824908157361852,5.509147454123892,5.66027098349693,1.568688475433199,9.717356618478448,1.0,Nuclear,1490,LARGE_TRIADIC_STRUCTURE
T888,2003,2006,2024,1.0421795173806072,4.694184526525593,5.535161697575202,1.5659644902241026,5.311140360431535,1.0,Solar,1491,LARGE_TRIADIC_STRUCTURE
T883,2003,2006,2019,1.0421795173806072,4.222745769203566,5.01044568533212,1.5651114512266089,4.807660870101604,1.0,Solar,1492,LARGE_TRIADIC_STRUCTURE
T2141,2010,2022,2024,3.744427978328315,0.8359013335579574,3.8377797877650086,1.5649845232951007,4.591187540555485,-1.0,Solar,1493,LARGE_TRIADIC_STRUCTURE
T597,2002,2003,2024,0.7576012954323174,5.535161697575202,6.066231388182682,1.5637149465320788,8.007155511423788,1.0,Solar,1494,LARGE_TRIADIC_STRUCTURE
T022,2000,2001,2023,0.8478459611375836,6.3198548760114335,7.026002874809416,1.5624812233216205,8.286886058149515,1.0,Solar,1495,LARGE_TRIADIC_STRUCTURE
T012,2000,2001,2013,0.8478459611375836,5.222444253797595,5.853769342870896,1.562479487737732,6.904284045909349,1.0,Nuclear,1496,LARGE_TRIADIC_STRUCTURE
T020,2000,2001,2021,0.8478459611375836,6.29058325149148,6.995876484093234,1.5597543194265961,8.25135319947344,1.0,Solar,1497,LARGE_TRIADIC_STRUCTURE
T1035,2003,2018,2021,4.903680010486001,0.7571736668727787,5.3526240196754005,1.5591080863497453,7.069215761005534,1.0,Solar,1498,LARGE_TRIADIC_STRUCTURE
T023,2000,2001,2024,0.8478459611375836,6.4528855141637305,7.166770537617042,1.5543728907299783,8.452915819757099,1.0,Solar,1499,LARGE_TRIADIC_STRUCTURE
T569,2001,2021,2024,6.29058325149148,0.5144514862615838,6.4528855141637305,1.554004213144799,12.543234272789377,1.0,Solar,1500,LARGE_TRIADIC_STRUCTURE
T024,2000,2001,2025,0.8478459611375836,6.5068980222326305,7.223275777699131,1.553625177033857,8.519561463744449,1.0,Solar,1501,LARGE_TRIADIC_STRUCTURE
T1173,2004,2011,2019,1.7854780106890713,3.091028495207535,4.676548897062097,1.5516230053672684,2.619213941065156,1.0,Solar,1502,LARGE_TRIADIC_STRUCTURE
T1625,2006,2021,2025,4.5495655657658824,0.6959751395997428,4.738034984769203,1.5512311286882356,6.807764696155756,1.0,Solar,1503,LARGE_TRIADIC_STRUCTURE
T1949,2009,2011,2025,0.8924868419488466,3.6913922267957644,4.0821333544947755,1.5490677343049106,4.573886317002694,1.0,Solar,1504,LARGE_TRIADIC_STRUCTURE
T181,2000,2010,2011,3.814094089854572,0.8378426019884997,4.103149153818554,1.5477927875146924,4.897279207431462,1.0,Wind,1505,LARGE_TRIADIC_STRUCTURE
