Z,N,A,element,binding_per_A_keV,binding_total_keV,is_stable,x_proton,x_neutron,N_over_Z
83,120,203,Bi,7857.4762,1595067.6686,False,0.4088669950738916,0.5911330049261084,1.4457831325301205
84,122,206,Po,7840.5973,1615163.0438,False,0.4077669902912621,0.5922330097087378,1.4523809523809523
85,124,209,At,7814.7835,1633289.7515,False,0.40669856459330145,0.5933014354066986,1.4588235294117646
86,124,210,Rn,7796.6653,1637299.713,False,0.4095238095238095,0.5904761904761905,1.441860465116279
87,126,213,Fr,7768.4543,1654680.7659,False,0.4084507042253521,0.5915492957746479,1.4482758620689655
88,126,214,Ra,7749.1719,1658322.7866,False,0.411214953271028,0.5887850467289719,1.4318181818181819
89,126,215,Ac,7719.4137,1659673.9455,False,0.413953488372093,0.586046511627907,1.4157303370786516
90,126,216,Th,7697.6617,1662694.9272,False,0.4166666666666667,0.5833333333333334,1.4
91,126,217,Pa,7664.6438,1663227.7046,False,0.41935483870967744,0.5806451612903226,1.3846153846153846
92,126,218,U,7640.7191,1665676.7638,False,0.42201834862385323,0.5779816513761468,1.3695652173913044
93,130,223,Np,7607.5654,1696487.0842000002,False,0.4170403587443946,0.5829596412556054,1.3978494623655915
94,136,230,Pu,7591.0016,1745930.368,False,0.40869565217391307,0.591304347826087,1.446808510638298
95,138,233,Am,7567.0,1763111.0,False,0.40772532188841204,0.592274678111588,1.4526315789473685
96,138,234,Cm,7550.6868,1766860.7112,False,0.41025641025641024,0.5897435897435898,1.4375
97,140,237,Bk,7527.0,1783899.0,False,0.4092827004219409,0.5907172995780591,1.443298969072165
98,142,240,Cf,7510.24,1802457.5999999999,False,0.4083333333333333,0.5916666666666667,1.4489795918367347
99,144,243,Es,7486.0,1819098.0,False,0.4074074074074074,0.5925925925925926,1.4545454545454546
100,144,244,Fm,7468.0,1822192.0,False,0.4098360655737705,0.5901639344262295,1.44
101,148,249,Md,7444.0169,1853560.2081,False,0.40562248995983935,0.5943775100401606,1.4653465346534653
102,148,250,No,7426.0,1856500.0,False,0.408,0.592,1.4509803921568627
103,150,253,Lr,7402.918,1872938.254,False,0.40711462450592883,0.5928853754940712,1.4563106796116505
104,152,256,Rf,7385.4349,1890671.3344,False,0.40625,0.59375,1.4615384615384615
105,152,257,Db,7361.9767,1892028.0119,False,0.4085603112840467,0.5914396887159533,1.4476190476190476
106,154,260,Sg,7342.5632,1909066.4319999998,False,0.4076923076923077,0.5923076923076923,1.4528301886792452
107,156,263,Bh,7318.0,1924634.0,False,0.4068441064638783,0.5931558935361216,1.4579439252336448
108,156,264,Hs,7298.3762,1926771.3168,False,0.4090909090909091,0.5909090909090909,1.4444444444444444
109,160,269,Mt,7274.0,1956706.0,False,0.4052044609665427,0.5947955390334573,1.4678899082568808
110,162,272,Ds,7255.0,1973360.0,False,0.40441176470588236,0.5955882352941176,1.4727272727272727
111,162,273,Rg,7230.0,1973790.0,False,0.4065934065934066,0.5934065934065934,1.4594594594594594
112,164,276,Cn,7209.0,1989684.0,False,0.4057971014492754,0.5942028985507246,1.4642857142857142
113,166,279,Nh,7183.0,2004057.0,False,0.4050179211469534,0.5949820788530465,1.4690265486725664
114,170,284,Fl,7163.0,2034292.0,False,0.4014084507042254,0.5985915492957746,1.4912280701754386
115,172,287,Mc,7139.0,2048893.0,False,0.40069686411149824,0.5993031358885017,1.4956521739130435
116,174,290,Lv,7120.0,2064800.0,False,0.4,0.6,1.5
117,174,291,Ts,7098.0,2065518.0,False,0.4020618556701031,0.5979381443298969,1.4871794871794872
118,176,294,Og,7079.0,2081226.0,False,0.4013605442176871,0.5986394557823129,1.4915254237288136
