Z,N,A,element,mass_excess_keV,binding_per_A_keV,binding_per_A_unc_keV,is_stable,halflife_s,primary_decay,isotopic_abundance,binding_total_keV
40,47,87,Zr,-79347.147,8623.6545,0.0477,False,6048.0,B+,,750257.9415000001
41,46,87,Nb,-73874.493,8551.7579,0.0782,False,222.0,B+,,744002.9373
42,45,87,Mo,-66884.817,8462.4243,0.0328,False,14.1,B+,,736230.9141
43,44,87,Tc,-57690.052,8347.7449,0.0482,False,2.14,B+,,726253.8062999999
44,43,87,Ru,-45730.0,8201.0,5.0,False,0.05,B+ ?,,713487.0
31,57,88,Ga,-22390.0,8050.0,6.0,False,,B- ?,,708400.0
32,56,88,Ge,-39520.0,8236.0,5.0,False,0.061,B-,,724768.0
33,55,88,As,-50450.0,8351.0,2.0,False,0.27,B-,,734888.0
34,54,88,Se,-63884.203,8495.0045,0.0382,False,1.53,B-,,747560.396
35,53,88,Br,-70715.967,8563.7479,0.036,False,16.34,B-,,753609.8152000001
36,52,88,Kr,-79691.295,8656.8499,0.0296,False,10170.0,B-,,761802.7912
37,51,88,Rb,-82609.004,8681.1154,0.0018,False,1066.8000000000002,B-,,763938.1552
38,50,88,Sr,-87921.62876,8732.5958,0.0003,True,1e+30,IS,82.58,768468.4304
39,49,88,Y,-84299.029,8682.5396,0.017,False,9212745.6,B+,,764063.4848
40,48,88,Zr,-83628.874,8666.0339,0.0614,False,7205760.000000001,EC,,762610.9832
41,47,88,Nb,-76171.555,8572.4013,0.6569,False,870.0,B+,,754371.3143999999
42,46,88,Mo,-72686.553,8523.9087,0.0434,False,480.0,B+,,750103.9656
