Z,N,A,x_proton,x_neutron,B_total_MeV,B_per_A_MeV,B_volume,B_surface,B_coulomb,B_asymmetry,B_pairing,is_stable,is_magic_Z,is_magic_N,is_doubly_magic,N_over_Z,parity
39,50,89,0.43820224719101125,0.5617977528089888,778.6994008489269,8.749431470212661,1401.75,-354.824288080122,-236.00496275634438,-32.221348314606736,0.0,True,False,True,False,1.2820512820512822,eo
40,50,90,0.4444444444444444,0.5555555555555556,787.3651964930978,8.748502183256642,1417.5,-357.47719534387846,-247.50275030437973,-26.333333333333332,1.178475474689416,True,False,True,False,1.25,ee
41,52,93,0.44086021505376344,0.5591397849462365,811.1701083748723,8.722259229837336,1464.75,-365.37764141581476,-257.36676633834526,-30.83548387096774,0.0,True,False,False,False,1.2682926829268293,eo
42,54,96,0.4375,0.5625,837.0071660974575,8.718824646848516,1512.0,-373.1935745353468,-267.3903133390424,-35.55,1.1410539718464972,True,False,False,False,1.2857142857142858,ee
43,54,97,0.44329896907216493,0.5567010309278351,842.9386418614296,8.690089091354944,1527.75,-375.7807179414973,-279.4667226713001,-29.563917525773196,0.0,False,False,False,False,1.255813953488372,eo
44,56,100,0.44,0.56,868.6834853496077,8.686834853496077,1575.0,-383.4893748256752,-289.81713982471706,-34.128,1.1179999999999999,True,False,False,False,1.2727272727272727,ee
45,58,103,0.4368932038834951,0.5631067961165048,891.9189610728142,8.65940738905645,1622.25,-391.121315930958,-300.32331522923755,-38.88640776699029,0.0,True,False,False,False,1.288888888888889,eo
46,60,106,0.4339622641509434,0.5660377358490566,917.0997879742278,8.651884792209696,1669.5,-398.67950694218194,-310.9839611682718,-43.82264150943396,1.0858975941154212,True,False,False,False,1.3043478260869565,ee
47,60,107,0.4392523364485981,0.5607476635514018,922.8438436970027,8.624708819598156,1685.25,-401.1829991831813,-323.7904468394419,-37.43271028037383,0.0,True,False,False,False,1.2765957446808511,eo
48,62,110,0.43636363636363634,0.5636363636363636,947.9213361760947,8.617466692509952,1732.5,-408.64713559046874,-334.7684084991223,-42.22909090909091,1.065971174776572,True,False,False,False,1.2916666666666667,ee
49,64,113,0.4336283185840708,0.5663716814159292,970.6185095012564,8.589544331869526,1779.75,-416.04371398679706,-345.89751102522087,-47.190265486725664,0.0,True,False,False,False,1.3061224489795917,eo
50,64,114,0.43859649122807015,0.5614035087719298,978.0518174793309,8.579401907713429,1795.5,-418.4946430800707,-359.253273956894,-40.74736842105263,1.0471029373483338,True,True,False,False,1.28,ee
51,70,121,0.4214876033057851,0.5785123966942148,1033.0239698758364,8.537388180792037,1905.75,-435.45530173347197,-366.5624639278816,-70.70826446280991,0.0,True,False,False,False,1.3725490196078431,eo
52,68,120,0.43333333333333335,0.5666666666666667,1025.1268149074142,8.542723457561785,1890.0,-433.05278208482605,-382.28099270657765,-50.559999999999995,1.0205896988179595,True,False,False,False,1.3076923076923077,ee
53,74,127,0.41732283464566927,0.5826771653543307,1078.383980799571,8.491212447240716,2000.25,-449.73409806851043,-389.8350707382179,-82.29685039370078,0.0,True,False,False,False,1.3962264150943395,eo
54,70,124,0.43548387096774194,0.5645161290322581,1054.3839756967136,8.503096578199303,1953.0,-442.62349091807613,-408.0674947654752,-48.92903225806452,1.0039936383296717,True,False,False,False,1.2962962962962963,ee
55,78,133,0.41353383458646614,0.5864661654135338,1123.0044325190656,8.44364234976741,2094.75,-463.7896966232642,-413.6904573238356,-94.26541353383458,0.0,True,False,False,False,1.4181818181818182,eo
56,74,130,0.4307692307692308,0.5692307692307692,1100.3365724339415,8.464127480261087,2047.5,-456.7889300094193,-432.28735611453203,-59.06769230769231,0.9805508655852587,True,False,False,False,1.3214285714285714,ee
57,82,139,0.41007194244604317,0.5899280575539568,1166.9286725362222,8.395170306015986,2189.25,-477.63543157992706,-438.121147682412,-106.56474820143885,0.0,True,False,True,False,1.4385964912280702,eo
58,78,136,0.4264705882352941,0.5735294117647058,1145.4341502661346,8.42230992842746,2142.0,-470.73801811420566,-457.0806263576652,-69.70588235294117,0.9586770909466243,True,False,False,False,1.3448275862068966,ee
59,82,141,0.41843971631205673,0.5815602836879432,1182.1681425886227,8.384171224032785,2220.75,-482.20614895865066,-467.45868717613104,-88.91702127659573,0.0,True,False,True,False,1.3898305084745763,eo
60,82,142,0.4225352112676056,0.5774647887323944,1189.7344085269203,8.37841132765437,2236.5,-484.4833969708104,-482.4401175707041,-80.78028169014084,0.9382047585756984,True,False,True,False,1.3666666666666667,ee
61,82,143,0.42657342657342656,0.5734265734265734,1194.7772742364355,8.355085833821226,2252.25,-486.755305548264,-497.62860902648924,-73.08881118881118,0.0,False,False,True,False,1.3442622950819672,eo
62,82,144,0.4305555555555556,0.5694444444444444,1201.0532609721508,8.340647645639937,2268.0,-489.0219244187833,-513.0231479423991,-65.83333333333333,0.9316666666666666,True,False,True,False,1.3225806451612903,ee
63,88,151,0.41721854304635764,0.5827814569536424,1253.883544626283,8.303864533948895,2378.25,-504.74415737508275,-521.5262715085681,-98.09602649006622,0.0,True,False,False,False,1.3968253968253967,eo
64,88,152,0.42105263157894735,0.5789473684210527,1260.9596258201145,8.295787011974438,2394.0,-506.97015595382186,-537.166509654395,-89.81052631578946,0.9068177441209626,True,False,False,False,1.375,ee
65,94,159,0.4088050314465409,0.5911949685534591,1310.5115999318218,8.242211320325923,2504.25,-522.4179434330847,-545.9638528615084,-125.35660377358491,0.0,True,False,False,False,1.4461538461538461,eo
66,90,156,0.4230769230769231,0.5769230769230769,1287.9501473209662,8.256090687954911,2457.0,-515.8258088794536,-566.6114678716583,-87.5076923076923,0.895116379770437,True,False,False,False,1.3636363636363635,ee
67,98,165,0.40606060606060607,0.593939393939394,1352.0087131376035,8.19399220083396,2598.75,-535.4792319334185,-573.2275094744328,-138.03454545454545,0.0,True,False,False,False,1.462686567164179,eo
