Date,Mechanical,Thermal,Age,Errors
2024-06-28,48.267,34.1105,28.0591,471.957
2024-06-29,48.7104,34.1521,28.0767,471.924
2024-06-30,50.7043,34.2063,28.1068,472.741
2024-07-01,80.9907,34.2093,28.126,472.638
2024-07-02,55.7048,34.2932,28.1534,473.22
2024-07-03,54.341,34.3548,28.1763,472.749
2024-07-04,57.506,34.3696,28.1996,473.39
2024-07-05,58.3683,34.3591,28.2182,471.449
2024-07-06,60.9399,34.577,28.242,471.871
2024-07-07,53.4817,34.6457,28.2627,472.429
2024-07-08,60.8501,34.7229,28.2896,472.367
2024-07-09,60.7421,34.7226,28.3103,471.336
2024-07-10,53.3579,34.682,28.3264,472.536
2024-07-11,53.1286,34.7022,28.3415,472.413
2024-07-12,51.2845,34.8242,28.3703,474.049
2024-07-13,50.9648,34.8096,28.3913,474.483
2024-07-14,50.7196,34.2428,28.3523,473.451
2024-07-15,51.3234,34.1042,28.3214,472.569
2024-07-16,53.4821,34.247,28.3429,472.586
2024-07-17,53.309,34.1703,28.3576,472.603
2024-07-18,53.7122,33.8822,28.3299,471.977
2024-07-19,56.2346,33.6207,28.3044,471.345
2024-07-20,49.3866,33.813,28.3205,470.243
2024-07-21,48.2217,33.7973,28.338,468.198
2024-07-22,48.4688,33.7407,28.3673,468.746
2024-07-23,48.9196,33.7674,28.3872,468.904
2024-07-24,49.066,33.6664,28.4155,469.342
2024-07-25,48.0175,33.7307,28.4272,469.167
2024-07-26,48.0104,33.7478,28.4476,469.443
2024-07-27,47.8321,33.8269,28.4686,469.96
2024-07-28,47.4603,33.8598,28.4315,469.451
2024-07-29,48.2591,33.8461,28.399,469.743
2024-07-30,48.6973,33.8139,28.4122,468.891
2024-07-31,48.1362,33.8204,28.4306,468.101
2024-08-01,46.3879,33.7935,28.455,467.329
2024-08-02,43.7904,33.8279,28.3187,466.031
2024-08-03,44.1681,33.9469,28.3406,466.239
2024-08-04,48.0339,33.9217,28.3639,466.219
2024-08-05,48.3559,33.8644,28.3867,466.182
2024-08-06,45.1443,33.9232,28.407,465.452
2024-08-07,46.3842,33.8439,28.43,463.775
2024-08-08,52.3138,33.7998,28.4533,463.898
2024-08-09,63.5804,33.7271,28.4746,461.662
2024-08-10,69.5195,33.8087,28.4939,461.295
2024-08-11,73.1479,33.7552,28.5174,462.253
2024-08-12,44.9356,33.7448,28.5357,461.734
2024-08-13,45.8574,33.8063,28.5559,461.797
2024-08-14,45.6784,33.7952,28.5736,461.766
2024-08-15,44.799,33.6269,28.5429,460.962
2024-08-16,45.6384,33.9069,28.51,459.627
2024-08-17,44.2774,34.0216,28.5271,460.299
2024-08-18,44.8315,33.8661,28.264,463.743
2024-08-19,45.1835,33.841,28.285,463.334
2024-08-20,45.2279,33.7796,28.3048,463.504
2024-08-21,44.9067,33.6729,28.3275,463.67
2024-08-22,45.0388,33.6752,28.3558,463.778
2024-08-23,45.1877,33.7597,28.3782,463.68
2024-08-24,45.3318,33.809,28.3998,463.981
2024-08-25,45.8463,33.8728,28.4233,464.016
2024-08-26,46.0299,33.8835,28.4405,464.203
2024-08-27,45.9134,33.9575,28.3499,453.659
2024-08-28,44.8972,33.7054,28.3645,453.243
2024-08-29,44.4611,33.7517,28.3864,453.321
2024-08-30,44.0747,33.9046,28.4078,453.161
2024-08-31,44.3284,33.8688,28.429,453.076
2024-09-01,44.5306,33.9205,28.444,453.142
2024-09-02,44.3232,34.001,28.4653,453.402
2024-09-03,44.2699,33.9317,28.482,453.709
2024-09-04,44.8389,33.9604,28.5115,453.483
2024-09-05,44.6914,33.8177,28.5368,453.547
2024-09-06,44.8519,33.9072,28.5602,453.244
2024-09-07,45.1649,34.0415,28.5836,453.254
2024-09-08,45.431,33.997,28.6085,452.822
2024-09-09,45.7726,33.9056,28.6378,453.091
2024-09-10,45.016,33.9227,28.6594,453.124
2024-09-11,45.98,33.78,28.6814,453.6
2024-09-12,45.2642,33.804,28.702,453.714
2024-09-13,45.5595,33.8915,28.6097,452.182
2024-09-14,45.7807,34.117,28.6276,452.433
2024-09-15,44.5346,34.168,28.4071,449.93
2024-09-16,44.6267,34.0761,28.3185,448.309
2024-09-17,44.187,34.2531,28.3364,446.135
2024-09-18,44.6351,33.8908,28.3638,446.039
2024-09-19,45.0192,33.8727,28.3867,445.887
2024-09-20,45.6947,34.1564,27.9871,448.182
2024-09-21,46.131,34.2023,27.9427,446.908
2024-09-22,45.9179,34.1809,27.9151,445.086
2024-09-23,45.6728,34.1097,27.9376,445.197
2024-09-24,45.3147,34.1564,27.9599,442.402
2024-09-25,45.4656,33.7791,27.9853,443.431
2024-09-26,44.2162,33.7434,28.0053,443.888
2024-09-27,44.1664,33.7459,28.0249,444.164
2024-09-28,43.9396,33.8658,28.0488,443.938
2024-09-29,43.9425,33.8239,28.07,444.69
2024-09-30,43.6752,33.8364,28.0886,444.937
2024-10-01,43.4221,33.9517,28.1158,445.366
2024-10-02,43.7168,33.7925,28.1351,445.865
2024-10-03,43.9288,33.7498,28.1604,445.556
2024-10-04,43.6337,33.9404,28.1829,445.582
2024-10-05,43.6607,34.0192,28.2056,446.072
2024-10-06,44.1558,33.9811,28.2292,444.594
2024-10-07,45.0469,33.9848,28.251,436.568
2024-10-08,47.1777,34.0473,28.2691,436.464
2024-10-09,44.5694,33.8218,28.2975,437.066
2024-10-10,44.853,33.8146,28.3204,437.448
2024-10-11,44.618,33.9715,28.3434,437.597
2024-10-12,44.8703,33.9485,28.3646,438.186
2024-10-13,45.1994,33.9463,28.248,439.711
2024-10-14,45.742,33.9015,28.1542,438.557
2024-10-15,44.9351,33.931,28.1774,435.198
2024-10-16,45.0449,33.8564,28.1983,435.027
2024-10-17,45.2001,33.7442,28.2204,435.491
2024-10-18,44.4134,33.9183,28.2418,435.575
2024-10-19,44.3611,33.9443,28.2648,436.348
2024-10-20,44.7664,33.8727,28.2881,436.413
2024-10-21,44.7566,33.8789,28.3111,435.966
2024-10-22,45.0969,33.7887,28.3326,436.376
2024-10-23,45.1747,33.2729,28.3573,434.493
2024-10-24,45.4196,32.986,28.3795,435.031
2024-10-25,45.203,32.9873,28.4014,435.451
2024-10-26,45.7191,33.0215,28.4242,428.111
2024-10-27,45.7758,32.9602,28.4271,429.329
2024-10-28,46.882,32.9873,28.3543,427.765
2024-10-29,46.4223,32.9243,28.3798,425.385
2024-10-30,46.2115,32.8596,28.4003,424.308
2024-10-31,47.3212,32.6835,28.4259,425.573
2024-11-01,48.1991,32.6609,28.4456,426.908
2024-11-02,48.6806,32.8286,28.4688,428.39
2024-11-03,47.9901,32.7281,28.4936,429.789
2024-11-04,47.5315,32.7333,28.4589,432.666
2024-11-05,48.3071,32.6357,28.4275,430.216
2024-11-06,52.8435,32.3343,28.4526,432.095
2024-11-07,47.6961,32.0971,28.4796,433.397
2024-11-08,48.2139,32.1565,28.4896,434.13
2024-11-09,49.2588,32.2982,28.5246,434.97
2024-11-10,50.8307,32.3389,28.5475,436.382
2024-11-11,50.6186,32.2437,28.5679,438.389
2024-11-12,50.5332,32.2517,28.586,439.266
2024-11-13,48.8133,32.1439,28.6111,440.653
2024-11-14,46.2083,32.0585,28.6267,441.618
2024-11-15,46.4447,32.16,28.6484,442.251
2024-11-16,47.313,32.2236,28.6086,442.457
2024-11-17,47.9908,32.1675,28.5729,442.027
2024-11-18,48.0949,32.1271,28.6008,442.531
2024-11-19,47.9323,32.0801,28.5076,441.262
2024-11-20,51.8054,31.9939,28.5285,441.535
2024-11-21,52.2717,31.9765,28.548,442.312
2024-11-22,55.4346,32.0604,28.5713,442.411
2024-11-23,47.9908,32.1262,28.5999,441.804
2024-11-24,48.4362,32.1853,28.6233,441.749
2024-11-25,48.673,32.2056,28.6476,442.53
2024-11-26,49.2288,32.1914,28.6694,442.833
2024-11-27,47.1443,32.1399,28.6915,443.525
2024-11-28,51.6541,32.0723,28.7137,444.098
2024-11-29,51.5708,31.877,28.7373,444.677
2024-11-30,59.8411,31.9029,28.76,445.052
2024-12-01,48.5875,31.9102,28.7846,445.498
2024-12-02,48.6444,31.8887,28.8047,444.268
2024-12-03,48.7103,31.8993,28.5952,431.712
2024-12-04,47.7677,31.7276,28.6191,431.972
2024-12-05,48.2716,31.6869,28.6368,420.225
2024-12-06,48.731,31.8027,28.6609,420.579
2024-12-07,48.3834,31.8673,28.6842,420.167
2024-12-08,48.9044,31.9109,28.7082,420.939
2024-12-09,50.3902,31.8859,28.7305,419.861
2024-12-10,48.3717,31.8999,28.7517,421.843
2024-12-11,47.7086,31.7821,28.7721,420.693
2024-12-12,47.5558,31.8123,28.7923,420.334
2024-12-13,49.1241,31.9869,28.7531,420.052
2024-12-14,61.1259,31.9267,28.7391,419.704
2024-12-15,48.3037,31.9114,28.7515,420.459
2024-12-16,48.842,31.8445,28.7728,420.641
2024-12-17,49.5535,31.8852,28.6929,419.745
2024-12-18,49.8517,31.8668,28.5993,418.969
2024-12-19,49.6903,31.9831,28.6286,419.712
2024-12-20,50.1431,31.885,28.5068,421.126
2024-12-21,48.9319,31.9994,28.4191,419.961
2024-12-22,49.758,32.0748,28.3809,420.075
2024-12-23,50.1662,32.0875,28.3576,421.76
2024-12-24,49.6315,32.1172,28.3789,422.466
2024-12-25,49.181,32.036,28.4005,423.047
2024-12-26,48.6302,31.9406,28.4237,423.307
2024-12-27,48.5573,32.0205,28.435,423.504
2024-12-28,49.086,32.2228,28.4618,424.163
2024-12-29,51.1266,32.3737,28.4854,424.694
2024-12-30,49.8898,32.43,28.5168,425.096
2024-12-31,51.2755,32.3503,28.5408,424.02
2025-01-01,52.5209,32.3321,28.5561,424.39
2025-01-02,54.0772,32.325,28.5832,424.376
2025-01-03,55.4944,32.3843,28.6164,425.634
2025-01-04,56.5062,32.3771,28.6199,427.852
2025-01-05,52.1585,32.3389,28.6536,426.587
2025-01-06,52.6162,32.3833,28.6676,425.859
2025-01-07,62.1422,32.464,28.6904,426.269
2025-01-08,52.8907,32.2592,28.7146,426.784
2025-01-09,53.1102,32.1034,28.74,427.033
2025-01-10,53.1144,32.2127,28.7593,427.718
2025-01-11,51.4338,32.2454,28.7789,428.048
2025-01-12,50.9154,32.3055,28.7953,428.22
2025-01-13,52.2247,32.2296,28.8248,429.007
2025-01-14,53.43,32.1796,28.8516,429.739
2025-01-15,58.68,32.055,28.8693,429.966
2025-01-16,61.5663,32.0236,28.891,430.458
2025-01-17,71.8626,32.1731,28.9145,431.236
2025-01-18,75.6562,32.1511,28.9361,431.697
2025-01-19,81.5529,32.1663,28.9595,432.262
2025-01-20,53.5221,32.1668,28.9793,432.956
2025-01-21,54.3145,32.2077,29.0049,433.726
2025-01-22,53.7559,32.2711,29.0273,434.597
2025-01-23,53.3038,32.0354,29.0487,416.538
2025-01-24,54.2811,32.0657,29.071,417.003
2025-01-25,54.5607,32.2055,29.095,418.288
2025-01-26,54.6421,32.2971,29.1191,418.332
2025-01-27,55.3024,32.3097,29.1439,419.981
2025-01-28,54.9702,32.1984,29.164,420.559
2025-01-29,53.905,32.0416,29.1834,421.242
2025-01-30,54.128,31.9519,29.2088,421.104
2025-01-31,53.7664,31.9832,29.2313,421.967
2025-02-01,53.3475,32.0409,29.2505,418.734
2025-02-02,53.2699,32.1129,29.2688,418.535
2025-02-03,54.8027,32.1755,29.1895,417.168
2025-02-04,54.4143,32.2319,29.2102,417.628
2025-02-05,53.9979,32.1498,29.2392,417.743
2025-02-06,54.3542,31.9701,29.2566,416.584
2025-02-07,54.6333,32.0961,29.2813,416.831
2025-02-08,54.2324,32.1716,29.183,412.566
2025-02-09,53.4688,32.146,29.0188,410.731
2025-02-10,53.9561,32.1074,29.0002,410.951
2025-02-11,53.3863,32.1552,29.0226,411.313
2025-02-12,53.3499,32.1309,29.0446,411.687
2025-02-13,53.1154,32.0757,29.073,412.267
2025-02-14,53.19,32.2,29.0967,412.911
2025-02-15,55.119,32.1577,29.0538,412.278
2025-02-16,52.3495,32.2248,29.0229,411.792
2025-02-17,52.8944,32.3115,29.0504,403.141
2025-02-18,53.0286,32.3604,29.071,403.276
2025-02-19,53.6951,32.3848,29.0937,403.93
2025-02-20,52.4797,32.3077,29.1079,403.777
2025-02-21,60.5431,32.382,29.1411,404.747
2025-02-22,54.5284,32.5086,29.1678,405.239
2025-02-23,53.2875,32.6197,29.1911,405.607
2025-02-24,54.6608,32.6922,29.2143,406.127
2025-02-25,55.0801,32.7369,29.2307,406.475
2025-02-26,53.3405,32.7508,29.252,406.953
2025-02-27,53.7963,32.7425,29.2744,407.369
2025-02-28,54.0985,32.8506,29.2948,407.807
2025-03-01,53.609,32.8928,29.1616,405.984
2025-03-02,53.0067,32.9156,29.1668,406.238
2025-03-03,54.2137,32.8109,29.1419,405.732
2025-03-04,53.5535,32.8569,29.1561,405.906
2025-03-05,54.2183,32.8499,29.1767,406.058
2025-03-06,54.0732,32.9146,29.2064,406.886
2025-03-07,54.1597,32.9579,29.2308,394.582
2025-03-08,54.2622,32.9444,29.2544,394.963
2025-03-09,53.917,33.0125,29.2783,395.505
2025-03-10,53.635,33.0014,29.3022,396.371
2025-03-11,53.6566,33.1307,29.3237,397.397
2025-03-12,53.7444,33.1207,29.3436,397.877
2025-03-13,55.8313,32.9973,29.3634,398.258
2025-03-14,56.9857,33.0112,29.2544,400.149
2025-03-15,56.2859,32.9349,29.2253,401.477
2025-03-16,56.7665,32.9431,29.1568,403.153
2025-03-17,57.2896,32.9142,29.1748,403.362
2025-03-18,58.1093,32.9163,29.1995,404.303
2025-03-19,57.0376,32.875,29.2209,405.247
2025-03-20,56.5576,32.7836,29.239,405.595
2025-03-21,56.5866,32.8909,29.1249,407.198
2025-03-22,56.3763,33.0004,29.1454,408.07
2025-03-23,56.7511,33.0246,29.1701,408.5
2025-03-24,56.6998,33.0123,29.193,408.469
2025-03-25,56.897,33.1477,29.2158,409.015
2025-03-26,58.1999,33.377,29.2383,409.579
2025-03-27,57.7703,33.28,29.2653,410.57
2025-03-28,58.4345,33.3901,29.282,410.923
2025-03-29,60.9883,32.9529,29.1759,405.604
2025-03-30,64.4638,33.0327,28.9395,406.111
2025-03-31,61.2201,33.0506,28.8568,404.783
2025-04-01,61.1172,32.9584,28.8791,405.156
2025-04-02,56.6093,32.9122,28.9036,405.647
2025-04-03,57.236,32.8979,28.9286,406.278
2025-04-04,57.9481,32.9388,28.9495,405.315
2025-04-05,55.1771,32.9789,28.9685,405.719
2025-04-06,55.6042,33.0092,28.8804,404.96
2025-04-07,56.1708,33.0094,28.9011,405.333
2025-04-08,56.6456,33.0431,28.9228,406.477
2025-04-09,56.2952,33.0318,28.9459,407.291
2025-04-10,56.3506,33.1584,28.9688,407.903
2025-04-11,57.4838,33.1695,28.9925,407.131
2025-04-12,57.0732,33.2766,29.0142,407.574
2025-04-13,57.1178,33.2882,29.0374,407.988
2025-04-14,57.8881,33.3117,29.0595,402.181
2025-04-15,58.603,33.4326,29.0796,409.27
2025-04-16,57.7616,33.4402,29.1,409.789
2025-04-17,60.1507,33.3483,29.1196,410.418
2025-04-18,59.7326,33.1611,29.1448,410.785
2025-04-19,69.2769,33.213,29.1664,404.653
2025-04-20,70.5896,33.2539,29.1887,405.19
2025-04-21,76.1372,33.2481,29.1039,404.409
2025-04-22,77.5899,33.3294,29.1226,404.998
2025-04-23,57.7334,33.4778,29.139,405.459
2025-04-24,57.5411,33.4084,29.1742,406.489
2025-04-25,58.1521,33.4135,29.1351,406.514
2025-04-26,56.1007,33.3897,29.03,407.742
2025-04-27,56.1202,33.2948,29.0433,408.342
2025-04-28,56.6785,33.1803,29.0653,409.338
2025-04-29,56.7469,33.1642,29.0754,410.603
2025-04-30,56.2702,33.0478,29.0955,411.461
2025-05-01,56.3366,33.1435,29.1218,413.516
2025-05-02,57.0457,33.3073,29.1431,415.808
2025-05-03,56.9545,33.3954,29.1696,418.576
2025-05-04,57.108,33.348,29.185,419.182
2025-05-05,57.5893,33.3445,29.1011,417.421
2025-05-06,59.5506,33.2725,29.1217,418.856
2025-05-07,59.4184,33.2402,29.1468,418.456
2025-05-08,58.033,33.1945,29.1604,419.178
2025-05-09,58.0748,33.3049,29.1845,420.309
2025-05-10,57.0981,33.3392,29.2054,423.662
2025-05-11,57.3761,33.5677,29.2251,422.002
2025-05-12,58.8305,32.3379,28.2096,482.453
2025-05-13,58.8073,33.55,29.2752,426.18
2025-05-14,57.7456,33.5677,29.2964,427.462
2025-05-15,57.731,33.5041,29.3192,417.907
2025-05-16,57.9112,33.1572,29.3423,418.589
2025-05-17,57.5872,33.2014,29.2527,417.491
2025-05-18,58.0914,33.0536,29.2769,417.953
2025-05-19,58.4067,32.955,29.2977,418.573
2025-05-20,58.9772,33.0721,29.3227,419.374
2025-05-21,59.1601,32.9922,29.3489,420.225
2025-05-22,59.9555,33.0546,29.3723,417.868
2025-05-23,61.37,33.1212,29.2211,422.431
2025-05-24,60.3888,33.0966,29.2095,422.525
2025-05-25,61.6738,33.0432,29.1746,422.276
2025-05-26,60.3504,33.0648,29.1493,416.994
2025-05-27,61.0874,33.0097,29.1781,417.713
2025-05-28,61.796,33.0471,29.0681,421.371
2025-05-29,61.0703,33.0336,29.0224,420.469
2025-05-30,61.8768,33.1474,29.0501,421.063
2025-05-31,73.5051,33.2688,29.0659,420.707
2025-06-01,61.7092,33.2298,29.0845,420.971
2025-06-02,62.2656,33.2178,29.0473,415.755
2025-06-03,62.8349,33.2292,29.0209,418.339
2025-06-04,63.8557,33.1347,29.0437,418.89
2025-06-05,63.6458,33.1612,29.0638,417.9
2025-06-06,65.7485,33.2222,29.0841,414.45
2025-06-07,76.9618,33.3093,29.1064,410.573
2025-06-08,88.0077,33.1803,29.1338,410.745
2025-06-09,82.9051,33.2132,29.1564,410.672
2025-06-10,94.1007,33.3224,29.1806,411.381
2025-06-11,60.9987,33.3007,29.2,411.534
2025-06-12,61.6632,33.1854,29.2227,411.657
2025-06-13,61.931,33.2155,29.184,411.26
2025-06-14,62.7364,33.3762,29.1546,411.33
2025-06-15,62.4225,33.257,29.1807,412.096
