L_km,P_nue,P_numu,P_nutau
L0973.73,8.9556519981e-02,5.4570535040e-02,8.5587294498e-01
L0977.73,8.8830933363e-02,6.3648412109e-02,8.4752065453e-01
L0981.74,8.8041005865e-02,7.3440086860e-02,8.3851890727e-01
L0985.74,8.7188091495e-02,8.3929229757e-02,8.2888267875e-01
L0989.74,8.6273656589e-02,9.5098363486e-02,8.1862797993e-01
L0993.74,8.5299277718e-02,1.0692889200e-01,8.0777183028e-01
L0997.75,8.4266639391e-02,1.1940113143e-01,7.9633222918e-01
L1001.75,8.3177531569e-02,1.3249434273e-01,7.8432812571e-01
L1005.75,8.2033846988e-02,1.4618676610e-01,7.7177938691e-01
L1009.76,8.0837578295e-02,1.6045565711e-01,7.5870676459e-01
L1013.76,7.9590815012e-02,1.7527732440e-01,7.4513186059e-01
L1017.76,7.8295740311e-02,1.9062716890e-01,7.3107709079e-01
L1021.77,7.6954627628e-02,2.0647972468e-01,7.1656564769e-01
L1025.77,7.5569837105e-02,2.2280870106e-01,7.0162146184e-01
L1029.77,7.4143811873e-02,2.3958702616e-01,6.8626916196e-01
L1033.77,7.2679074183e-02,2.5678689178e-01,6.7053403404e-01
L1037.78,7.1178221381e-02,2.7437979933e-01,6.5444197929e-01
L1041.78,6.9643921751e-02,2.9233660705e-01,6.3801947120e-01
L1045.78,6.8078910214e-02,3.1062757823e-01,6.2129351156e-01
L1049.79,6.6485983902e-02,3.2922243034e-01,6.0429158576e-01
L1053.79,6.4867997609e-02,3.4809038513e-01,5.8704161726e-01
L1057.79,6.3227859132e-02,3.6720021955e-01,5.6957192132e-01
L1061.80,6.1568524498e-02,3.8652031729e-01,5.5191115821e-01
L1065.80,5.9892993101e-02,4.0601872107e-01,5.3408828583e-01
L1069.80,5.8204302741e-02,4.2566318544e-01,5.1613251182e-01
L1073.80,5.6505524584e-02,4.4542123002e-01,4.9807324540e-01
L1077.81,5.4799758051e-02,4.6526019316e-01,4.7994004879e-01
L1081.81,5.3090125634e-02,4.8514728588e-01,4.6176258849e-01
L1085.81,5.1379767660e-02,5.0504964596e-01,4.4357058638e-01
L1089.82,4.9671837011e-02,5.2493439223e-01,4.2539377076e-01
L1093.82,4.7969493793e-02,5.4476867881e-01,4.0726182740e-01
L1097.82,4.6275899985e-02,5.6451974929e-01,3.8920435073e-01
L1101.83,4.4594214066e-02,5.8415499076e-01,3.7125079517e-01
L1105.83,4.2927585626e-02,6.0364198764e-01,3.5343042674e-01
L1109.83,4.1279149973e-02,6.2294857506e-01,3.3577227496e-01
L1113.83,3.9652022755e-02,6.4204289196e-01,3.1830508529e-01
L1117.84,3.8049294590e-02,6.6089343352e-01,3.0105727189e-01
L1121.84,3.6474025721e-02,6.7946910313e-01,2.8405687114e-01
L1125.84,3.4929240711e-02,6.9773926362e-01,2.6733149567e-01
L1129.85,3.3417923175e-02,7.1567378768e-01,2.5090828915e-01
L1133.85,3.1943010570e-02,7.3324310747e-01,2.3481388196e-01
L1137.85,3.0507389042e-02,7.5041826335e-01,2.1907434761e-01
L1141.86,2.9113888345e-02,7.6717095147e-01,2.0371516019e-01
L1145.86,2.7765276842e-02,7.8347357036e-01,1.8876115280e-01
L1149.86,2.6464256593e-02,7.9929926636e-01,1.7423647705e-01
L1153.86,2.5213458537e-02,8.1462197770e-01,1.6016456376e-01
L1157.87,2.4015437786e-02,8.2941647742e-01,1.4656808479e-01
L1161.87,2.2872669026e-02,8.4365841476e-01,1.3346891621e-01
L1165.87,2.1787542046e-02,8.5732435517e-01,1.2088810279e-01
L1169.88,2.0762357394e-02,8.7039181877e-01,1.0884582383e-01
L1173.88,1.9799322172e-02,8.8283931729e-01,9.7361360542e-02
L1177.88,1.8900545978e-02,8.9464638923e-01,8.6453064791e-02
L1181.89,1.8068036999e-02,9.0579363349e-01,7.6138329513e-02
L1185.89,1.7303698267e-02,9.1626274107e-01,6.6433560659e-02
L1189.89,1.6609324078e-02,9.2603652512e-01,5.7354150799e-02
L1193.89,1.5986596590e-02,9.3509894899e-01,4.8914454417e-02
L1197.90,1.5437082601e-02,9.4343515248e-01,4.1127764918e-02
