depth_m,x_SiO2,x_Al2O3,x_Rb,x_Zr,clr_SiO2,clr_Al2O3,clr_Rb,clr_Zr,aitchison_step,helmsman,regime,Keff,cnq_radial,bary_x,bary_y,logSiAl,logZrRb,CaCO3_pct,TOC_pct,alpha_SiO2,alpha_Al2O3,alpha_Rb,alpha_Zr
214.75,0.738932,0.260612,0.00019,0.000266,4.3093,3.2672,-3.9577,-3.6188,0.1126,Zr,0,1.7822,7.616,0.1931,-0.0528,1.0422,0.3389,18.83,0.68,0.02,1.84,151.3,1743.15
216.75,0.724934,0.274588,0.000215,0.000264,4.2537,3.2829,-3.8711,-3.6655,0.1141,Rb,0,1.8077,7.5692,0.1011,0.0013,0.9708,0.2055,10.67,0.68,0.32,0.07,3033.73,629.3
217.75,0.740651,0.258854,0.000208,0.000287,4.271,3.2197,-3.9069,-3.5838,0.1107,Zr,0,1.7795,7.531,0.2092,0.0245,1.0513,0.323,13.5,0.68,0.03,1.19,487.26,2067.4
218.75,0.743751,0.255669,0.000203,0.000377,4.2151,3.1472,-3.9888,-3.3735,0.2436,Zr,1,1.7746,7.4137,0.4286,0.0436,1.0678,0.6154,7.17,0.68,0.07,0.34,544.3,2595.4
219.75,0.755583,0.243949,0.000193,0.000275,4.3303,3.1998,-3.9416,-3.5884,0.2539,Zr,1,1.7504,7.5765,0.2403,0.0046,1.1305,0.3532,5.67,0.64,0.28,0.17,169.8,1903.52
220.75,0.73827,0.261272,0.00021,0.000249,4.3003,3.2616,-3.8663,-3.6955,0.1479,Zr,0,1.7834,7.5984,0.0927,0.0099,1.0387,0.1708,10.58,0.67,0.05,0.72,1343.41,1908.81
221.75,0.737931,0.261597,0.000231,0.000242,4.2824,3.2454,-3.7877,-3.7401,0.0935,Rb,0,1.7842,7.5635,0.0256,0.0751,1.037,0.0476,7.83,0.68,0.05,0.11,3370.56,912.03
222.78,0.71382,0.285703,0.000259,0.000217,4.2333,3.3176,-3.6865,-3.8643,0.1825,Zr,1,1.8268,7.5796,-0.1547,0.0927,0.9157,-0.1778,9.25,0.62,0.1,0.6,1332.6,1914.86
223.75,0.737744,0.261795,0.000217,0.000244,4.2954,3.2593,-3.8343,-3.7204,0.2231,Rb,1,1.7844,7.5906,0.0588,0.0325,1.036,0.1138,16.0,0.6,0.11,0.24,1690.31,1914.62
224.75,0.750674,0.248849,0.000198,0.000279,4.3109,3.2068,-3.9307,-3.587,0.1735,Zr,1,1.7601,7.5621,0.23,0.0104,1.1041,0.3436,10.92,0.58,0.01,0.35,1420.92,2427.52
225.75,0.761361,0.238153,0.000185,0.000301,4.3304,3.1682,-3.9932,-3.5053,0.1116,Zr,0,1.739,7.5513,0.3409,-0.0025,1.1622,0.4878,9.58,0.62,0.04,0.48,1585.52,1922.76
226.89,0.728582,0.270947,0.000237,0.000233,4.2663,3.2771,-3.7625,-3.7808,0.3808,Zr,1,1.8012,7.5757,-0.033,0.0697,0.9892,-0.0182,8.42,0.58,0.04,0.34,1984.33,1737.91
227.73,0.744843,0.254706,0.000206,0.000245,4.3218,3.2488,-3.8736,-3.697,0.1524,Rb,0,1.771,7.6095,0.1039,0.0104,1.0731,0.1766,9.42,0.54,0.18,0.13,2233.75,1295.84
228.92,0.721977,0.277568,0.000232,0.000223,4.2702,3.3143,-3.7714,-3.8132,0.1758,Zr,1,1.8126,7.6147,-0.0684,0.0343,0.9559,-0.0418,5.17,0.6,0.12,0.55,1645.05,1780.99
229.91,0.722801,0.276721,0.000249,0.000229,4.2481,3.288,-3.7262,-3.8098,0.0569,Rb,0,1.8115,7.5668,-0.0798,0.0878,0.9601,-0.0836,2.92,0.66,0.21,0.77,2713.07,15.47
230.92,0.73977,0.259763,0.000193,0.000274,4.2993,3.2528,-3.9496,-3.6025,0.311,Rb,1,1.7808,7.5922,0.2061,-0.0342,1.0466,0.3471,34.83,0.36,0.04,0.05,2073.06,1941.65
231.92,0.734885,0.264658,0.00021,0.000247,4.2953,3.274,-3.8647,-3.7046,0.1345,Zr,0,1.7896,7.6045,0.079,0.0025,1.0213,0.1601,9.75,0.8,0.0,0.1,2059.73,2102.87
232.92,0.728977,0.270547,0.000236,0.00024,4.261,3.2698,-3.7738,-3.7571,0.1105,Rb,0,1.8006,7.5634,-0.0076,0.0697,0.9912,0.0167,1.75,0.73,0.13,0.01,3221.33,915.79
233.92,0.721008,0.278536,0.00024,0.000217,4.2677,3.3166,-3.7413,-3.843,0.1033,Zr,0,1.8143,7.6144,-0.1066,0.0517,0.9511,-0.1018,13.5,0.62,0.01,0.76,419.7,2881.26
234.92,0.74878,0.250776,0.000167,0.000277,4.3508,3.257,-4.0563,-3.5515,0.4412,Rb,1,1.7634,7.6553,0.3018,-0.1152,1.0939,0.5047,22.58,0.63,0.05,0.07,2126.47,2015.82
235.9,0.761525,0.238003,0.000174,0.000298,4.3477,3.1847,-4.0337,-3.4987,0.0924,Al2O3,0,1.7385,7.5866,0.3609,-0.0443,1.163,0.5349,10.42,0.6,0.0,2.44,358.76,1179.12
237.75,0.726414,0.273134,0.000211,0.000241,4.2829,3.3048,-3.8602,-3.7276,0.3179,Zr,1,1.8048,7.6198,0.0445,-0.0158,0.9782,0.1326,16.17,0.68,0.05,0.6,1706.84,1739.06
238.91,0.737655,0.261882,0.000207,0.000256,4.295,3.2594,-3.8836,-3.6708,0.0773,Zr,0,1.7846,7.5913,0.1196,0.0022,1.0356,0.2127,15.58,0.63,0.03,1.26,434.2,2235.41
241.4,0.737953,0.261565,0.000211,0.000271,4.2766,3.2394,-3.8819,-3.6341,0.0457,Zr,0,1.7843,7.5538,0.152,0.0231,1.0372,0.2478,2.58,0.77,0.22,0.73,6.18,2522.12
242.42,0.723249,0.276285,0.000215,0.000251,4.2623,3.3,-3.8582,-3.7041,0.0966,Zr,0,1.8105,7.5936,0.06,-0.0061,0.9623,0.1542,5.42,0.76,0.03,1.5,284.9,1938.43
243.25,0.723351,0.276186,0.000226,0.000238,4.2642,3.3013,-3.809,-3.7565,0.072,Zr,0,1.8103,7.5962,-0.0032,0.0227,0.9628,0.0525,4.5,0.62,0.0,0.0,2177.03,2115.34
244.25,0.739393,0.26013,0.00021,0.000267,4.2847,3.24,-3.8838,-3.6409,0.1521,Zr,0,1.7816,7.5628,0.1488,0.0196,1.0446,0.2429,3.25,0.64,0.03,0.59,1073.13,2429.12
244.75,0.731008,0.268528,0.00021,0.000255,4.2799,3.2784,-3.8774,-3.6809,0.0561,Zr,0,1.7968,7.5927,0.0986,-0.0052,1.0015,0.1965,6.58,0.74,0.01,1.8,62.79,1909.76
245.18,0.736969,0.262572,0.000195,0.000264,4.3005,3.2685,-3.9343,-3.6347,0.0768,Rb,0,1.7858,7.607,0.168,-0.0373,1.032,0.2996,4.92,0.83,0.1,0.06,2618.48,1421.96
246.74,0.738883,0.260653,0.000213,0.00025,4.2954,3.2535,-3.8547,-3.6941,0.1006,Rb,0,1.7824,7.5856,0.0909,0.0245,1.042,0.1606,7.0,0.86,0.0,0.08,3200.65,1324.82
247.74,0.74171,0.257831,0.000187,0.000272,4.3128,3.2561,-3.9722,-3.5966,0.1537,Rb,0,1.777,7.6103,0.222,-0.0539,1.0567,0.3756,6.75,0.78,0.02,0.0,2740.22,1606.72
248.75,0.744161,0.25539,0.000197,0.000251,4.3249,3.2554,-3.9105,-3.6698,0.0965,Zr,0,1.7723,7.6198,0.1397,-0.0183,1.0695,0.2407,5.25,0.84,0.02,0.0,2187.25,2110.49
249.75,0.747102,0.25244,0.0002,0.000258,4.3201,3.235,-3.9052,-3.6499,0.0294,Al2O3,0,1.7668,7.5961,0.16,0.002,1.085,0.2552,10.08,0.71,0.04,1.89,166.19,1827.47
