SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5
48.87790817,3.40745316,16.75931645,12.73419806,8.214947499,4.982499485,0.205888409,1.070619724,3.747169034,0.0
49.24437134,2.549604195,14.59854015,11.44237689,11.38069292,7.710496556,0.236455228,0.616839725,2.220623008,0.0
48.78224232,2.641044086,16.1545576,11.07799815,10.02980166,7.070188059,0.205528723,0.924879252,3.113760148,0.0
49.21214651,3.527079203,13.02306167,14.3587603,9.464677032,6.261087342,0.219138057,0.980903684,2.953146196,0.0
45.7559145,3.437253851,15.97312084,12.27925981,11.01943146,8.08765612,0.161753122,0.545916788,2.335310705,0.404382806
46.31692428,3.502704707,18.29528662,11.50848049,10.66040563,5.746466274,0.152291509,0.507638363,2.873233137,0.436568993
49.59811165,2.751516698,18.37042031,10.54535971,7.748756583,4.875849442,0.171969794,1.224020296,4.046348085,0.667647434
45.76110025,3.432082519,17.79371354,12.6555428,10.65375615,6.026573471,0.173647032,0.429010315,2.747708922,0.326865002
45.8381444,3.33609464,18.20058972,12.46577366,10.70202837,5.794806592,0.163233989,0.42848922,2.734169308,0.336670101
46.62127752,3.005858886,15.95339294,13.76434574,10.24632303,5.839083985,0.203098573,0.69053515,3.36128139,0.314802789
47.32009292,1.760841781,14.5218848,10.91557357,9.79594738,12.14373642,0.182156046,0.637546162,2.448986845,0.27323407
47.75918888,2.095855861,16.17960225,11.13368651,9.841410131,9.082042065,0.172123428,0.779617881,2.652725776,0.303747226
48.05630211,1.987977039,16.52252346,10.91631461,9.453033677,9.179179697,0.17242658,0.73027728,2.667540619,0.31442494
48.91520195,2.74482289,15.97732727,11.98131374,10.12921582,4.946826328,0.194595653,1.30071831,3.400302983,0.409675058
48.99006226,3.04286101,16.01559178,12.93360364,8.773582579,4.939577706,0.202857401,1.349001714,3.357289981,0.395571931
49.33862372,2.732569442,17.28934272,11.77559254,8.990051883,4.9673846,0.172690262,1.086932827,3.240481978,0.406330029
49.96217916,2.560865342,17.38959153,10.97703288,8.765649747,4.969900722,0.172073956,1.214639688,3.481967105,0.50609987
50.31796413,1.995209583,18.09940122,10.34790408,8.978443125,5.649700606,0.162874252,0.916167666,3.288023956,0.244311378
50.39069178,2.438585687,17.29270929,10.69312336,8.651413951,4.93788305,0.172016418,1.305301052,3.683175062,0.435100351
50.52519935,2.556183545,16.86878268,11.12190389,8.540898987,4.473321204,0.182584539,1.572255752,3.753126633,0.40574342
50.47832262,2.633299334,16.93414033,11.46037393,8.386045572,4.699426504,0.182305339,1.336905816,3.494185655,0.3949949
50.52814414,2.551210644,16.92708014,11.10245769,8.544530886,4.758210327,0.17210548,1.569197023,3.431985747,0.415077922
50.74082414,2.390663705,16.5928269,11.71765176,8.357193035,5.034575683,0.192468688,1.2763713,3.423916662,0.273508136
50.83327991,2.359863363,16.4684027,11.69249502,8.203816841,5.003315456,0.19243521,1.266021117,3.696781663,0.28358873
40.52957648,3.482931378,9.122445267,13.58482757,15.05557837,11.82576701,0.182246409,2.865318547,2.93619215,0.415116821
40.82676287,2.837781082,7.705507756,14.46264979,17.37881991,11.73432834,0.217494171,2.029945592,2.299224089,0.507486398
50.67467143,1.925637514,14.35106695,10.84298309,11.65517443,6.790405971,0.192563751,0.49661178,2.776971994,0.293913094
45.48613031,2.948644224,14.44936998,11.74332925,10.30505559,9.048588631,0.212788758,1.367927733,3.485682519,0.952483014
46.46822064,2.57424821,14.77659012,11.01614455,10.34766702,9.212565445,0.253370887,1.246584763,3.476248567,0.628359799
48.86204412,2.360044834,15.70999801,9.396562061,9.480695127,8.174060863,0.172192112,1.914371131,3.29190803,0.638123711
45.26152776,2.231130654,14.82687734,10.43024576,11.69315293,10.21249349,0.223113065,1.166272842,3.184431933,0.770754226
45.91161478,2.290007711,13.4563285,10.83155814,11.85534966,11.520968,0.20265555,1.053808858,2.310273266,0.567435539
52.21816085,2.193528344,16.86782676,11.47691401,6.875086523,4.976059669,0.13201791,1.533438796,3.219205949,0.507761191
45.91946843,2.292423209,13.13578785,10.78822071,11.68527228,12.11129784,0.202869311,0.527460207,2.779309554,0.557890604
46.34539018,2.236805248,13.60301472,10.80106494,11.43705851,11.08281333,0.202425814,1.062735525,2.712505911,0.516185826
45.87172203,2.265769732,13.48335291,10.69428141,11.45022918,11.36930883,0.202300869,1.122769823,2.99405286,0.546212346
47.60048575,1.560007407,15.15435767,11.48477453,10.89979201,9.400564115,0.202598365,0.810393458,2.51221972,0.374806974
50.02797207,1.449645391,16.27049548,9.969925028,10.15765512,7.288776478,0.162198086,0.84140257,3.335198138,0.496731638
47.04094773,1.948262428,15.69714028,10.76352405,10.6498283,8.772228236,0.232176352,1.03974627,3.199995801,0.656150559
47.20202112,2.017440336,14.83173473,9.833596249,11.35443807,8.384035968,0.202757823,1.439580541,3.821984958,0.912410202
47.33028917,2.015132123,14.79451272,9.886126808,11.05791095,8.830126691,0.202525842,1.407554599,3.564454811,0.911366287
