Year,Gold,Silver
1969,0.9586092715,0.0413907285
1969,0.9586092715,0.0413907285
1969,0.9586092715,0.0413907285
1969,0.9586092715,0.0413907285
1970,0.9535747447,0.0464252553
1970,0.9535747447,0.0464252553
1970,0.9535747447,0.0464252553
1970,0.9535747447,0.0464252553
1970,0.9535747447,0.0464252553
1970,0.9535747447,0.0464252553
1970,0.9535747447,0.0464252553
1970,0.9535747447,0.0464252553
1970,0.9535747447,0.0464252553
1970,0.9535747447,0.0464252553
1970,0.9535747447,0.0464252553
1970,0.9535747447,0.0464252553
1971,0.9638467101,0.0361532899
1971,0.9638467101,0.0361532899
1971,0.9638467101,0.0361532899
1971,0.9638467101,0.0361532899
1971,0.9638467101,0.0361532899
1971,0.9638467101,0.0361532899
1971,0.9638467101,0.0361532899
1971,0.9638467101,0.0361532899
1971,0.9638467101,0.0361532899
1971,0.9638467101,0.0361532899
1971,0.9638467101,0.0361532899
1971,0.9638467101,0.0361532899
1972,0.9720279720,0.0279720280
1972,0.9720279720,0.0279720280
1972,0.9720279720,0.0279720280
1972,0.9720279720,0.0279720280
1972,0.9720279720,0.0279720280
1972,0.9720279720,0.0279720280
1972,0.9720279720,0.0279720280
1972,0.9720279720,0.0279720280
1972,0.9720279720,0.0279720280
1972,0.9720279720,0.0279720280
1972,0.9720279720,0.0279720280
1972,0.9720279720,0.0279720280
1973,0.9744963020,0.0255036980
1973,0.9744963020,0.0255036980
1973,0.9744963020,0.0255036980
1973,0.9744963020,0.0255036980
1973,0.9744963020,0.0255036980
1973,0.9744963020,0.0255036980
1973,0.9744963020,0.0255036980
1973,0.9744963020,0.0255036980
1973,0.9744963020,0.0255036980
1973,0.9744963020,0.0255036980
1973,0.9744963020,0.0255036980
1973,0.9744963020,0.0255036980
1974,0.9713467049,0.0286532951
1974,0.9713467049,0.0286532951
1974,0.9713467049,0.0286532951
1974,0.9713467049,0.0286532951
1974,0.9713467049,0.0286532951
1974,0.9713467049,0.0286532951
1974,0.9713467049,0.0286532951
1974,0.9713467049,0.0286532951
1974,0.9713467049,0.0286532951
1974,0.9713467049,0.0286532951
1974,0.9713467049,0.0286532951
1974,0.9713467049,0.0286532951
1975,0.9733404425,0.0266595575
1975,0.9733404425,0.0266595575
1975,0.9733404425,0.0266595575
1975,0.9733404425,0.0266595575
1975,0.9733404425,0.0266595575
1975,0.9733404425,0.0266595575
1975,0.9733404425,0.0266595575
1975,0.9733404425,0.0266595575
1975,0.9733404425,0.0266595575
1975,0.9733404425,0.0266595575
1975,0.9733404425,0.0266595575
1975,0.9733404425,0.0266595575
1976,0.9663978495,0.0336021505
1976,0.9663978495,0.0336021505
1976,0.9663978495,0.0336021505
